user_id,site,campaign_type,device_os,hour_of_day,day_of_week,historical_open_rate,historical_push_count,days_since_last_open,segment,target_opened
USR_00000068,search,transactional,ios,5,3,0.9179,5,6,churn,1
USR_00000069,home,engagement,ios,8,3,0.4069,14,3,active,1
USR_00000070,search,promo,web,12,3,0.3281,12,1,churn,0
USR_00000071,content,promo,android,16,0,0.0865,11,37,at_risk,0
USR_00000072,home,transactional,android,22,0,0.6342,14,7,new,1
USR_00000073,search,promo,android,4,0,0.8638,7,0,active,1
USR_00000074,home,engagement,android,23,4,0.0412,14,42,new,1
USR_00000075,product,engagement,android,12,2,0.1453,10,12,active,1
USR_00000076,search,promo,web,3,6,0.1464,10,36,active,1
USR_00000077,search,transactional,android,22,4,0.6023,13,43,active,1
USR_00000078,home,promo,android,8,0,0.9212,6,23,at_risk,0
USR_00000079,product,engagement,ios,14,0,0.4378,12,41,active,1
USR_00000080,product,promo,ios,16,2,0.3438,13,43,active,1
USR_00000081,content,engagement,ios,0,6,0.7658,15,6,at_risk,1
USR_00000082,search,transactional,android,5,0,0.7426,13,6,churn,1
USR_00000083,home,promo,web,16,1,0.2468,16,16,at_risk,0
USR_00000084,content,engagement,android,7,0,0.1608,15,25,new,1
USR_00000085,product,engagement,android,0,2,0.3578,9,35,new,0
USR_00000086,product,transactional,ios,0,6,0.7756,10,8,new,0
USR_00000087,home,engagement,web,19,4,0.6951,13,8,active,0
USR_00000088,search,re-engagement,android,3,3,0.6659,7,13,new,1
USR_00000089,content,transactional,ios,2,1,0.8294,17,12,churn,1
USR_00000090,content,transactional,android,13,2,0.2771,15,42,active,1
USR_00000091,search,promo,android,2,3,0.3397,16,17,active,1
USR_00000092,content,engagement,android,15,1,0.0423,13,39,active,0
USR_00000093,content,transactional,ios,13,4,0.8687,17,2,active,1
USR_00000094,search,transactional,android,15,6,0.5824,16,4,active,1
USR_00000095,content,promo,ios,11,1,0.2981,11,36,at_risk,0
USR_00000096,search,engagement,android,18,1,0.0694,10,11,new,1
USR_00000097,home,promo,web,15,0,0.7234,7,3,at_risk,0
USR_00000098,product,engagement,web,9,5,0.7487,13,26,new,0
USR_00000099,product,promo,android,0,3,0.6662,9,6,active,0
USR_00000100,home,re-engagement,android,6,1,0.2038,8,2,churn,0
USR_00000101,content,promo,android,3,1,0.9132,7,18,new,1
USR_00000102,home,promo,web,0,0,0.7532,14,24,new,1
USR_00000103,content,engagement,android,6,3,0.6578,6,23,active,1
USR_00000104,home,re-engagement,ios,4,4,0.6509,11,26,active,0
USR_00000105,content,promo,android,1,1,0.9044,12,1,new,1
USR_00000106,content,transactional,ios,7,0,0.9283,11,13,new,1
USR_00000107,content,engagement,ios,12,3,0.5956,7,15,new,0
USR_00000108,product,engagement,ios,4,4,0.4167,16,13,active,1
USR_00000109,search,promo,web,6,2,0.3637,13,25,new,1
USR_00000110,product,transactional,android,0,1,0.8191,8,10,at_risk,1
USR_00000111,search,engagement,web,1,1,0.6446,9,28,at_risk,0
USR_00000112,content,engagement,android,3,5,0.0773,11,42,new,0
USR_00000113,product,engagement,ios,10,6,0.1422,11,29,active,1
USR_00000114,search,transactional,web,15,5,0.9002,14,17,new,0
USR_00000115,product,promo,ios,18,3,0.8845,10,19,active,1
USR_00000116,product,re-engagement,ios,15,5,0.9518,15,26,new,1
USR_00000117,home,engagement,android,14,2,0.4279,15,32,at_risk,1
USR_00000118,home,engagement,android,22,0,0.7841,13,13,active,1
USR_00000119,home,promo,android,6,2,0.8282,15,1,active,0
USR_00000120,home,promo,ios,19,4,0.3157,8,31,active,0
USR_00000121,search,engagement,ios,22,4,0.1453,12,29,at_risk,0
USR_00000122,product,promo,android,13,6,0.997,14,4,active,0
USR_00000123,product,re-engagement,android,20,6,0.0302,12,28,new,0
USR_00000124,search,promo,android,3,1,0.5973,9,3,churn,1
USR_00000125,content,engagement,android,21,0,0.6502,10,28,active,0
USR_00000126,product,engagement,android,13,1,0.6818,13,33,active,1
USR_00000127,home,promo,web,5,6,0.2556,9,0,active,1
USR_00000128,content,promo,ios,1,5,0.7216,13,32,active,0
USR_00000129,product,engagement,android,17,0,0.2164,10,5,new,0
USR_00000130,product,transactional,ios,10,1,0.829,20,11,new,1
USR_00000131,product,transactional,web,7,3,0.2191,14,31,active,1
USR_00000132,product,engagement,android,9,4,0.6967,11,15,active,0
USR_00000133,home,re-engagement,android,23,6,0.7834,9,43,at_risk,1
USR_00000134,product,transactional,android,10,5,0.1889,11,43,at_risk,0
USR_00000135,content,promo,android,1,1,0.238,10,44,churn,1
USR_00000136,search,promo,ios,6,0,0.7791,16,4,churn,0
USR_00000137,product,promo,web,3,4,0.086,11,7,at_risk,0
USR_00000138,home,promo,android,16,3,0.1908,7,8,new,0
USR_00000139,search,promo,ios,19,6,0.4555,10,26,active,1
USR_00000140,search,engagement,android,20,4,0.9302,7,19,active,1
USR_00000141,content,promo,ios,15,3,0.5619,14,33,active,0
USR_00000142,home,re-engagement,ios,18,2,0.3877,11,12,new,0
USR_00000143,search,promo,android,10,0,0.9784,15,8,active,1
USR_00000144,search,promo,android,15,6,0.4637,16,29,active,1
USR_00000145,content,engagement,ios,2,5,0.4337,10,27,active,0
USR_00000146,content,engagement,web,12,1,0.4116,14,31,at_risk,1
USR_00000147,home,promo,android,13,4,0.3122,13,14,active,0
USR_00000148,home,promo,android,0,2,0.3257,8,23,active,1
USR_00000149,content,promo,android,13,3,0.6878,13,41,active,1
USR_00000150,home,transactional,ios,17,5,0.0408,13,27,active,1
USR_00000151,content,transactional,ios,8,5,0.6818,18,41,new,1
USR_00000152,search,promo,ios,13,1,0.2012,14,19,active,1
USR_00000153,content,promo,ios,6,2,0.3842,12,2,active,1
USR_00000154,search,transactional,web,6,5,0.1465,12,34,active,1
USR_00000155,search,re-engagement,web,3,6,0.5528,15,20,new,1
USR_00000156,product,engagement,android,7,0,0.7294,10,1,churn,1
USR_00000157,home,transactional,ios,19,5,0.3547,18,6,at_risk,1
USR_00000158,product,promo,android,22,3,0.1634,9,14,active,1
USR_00000159,product,promo,android,15,4,0.2265,14,8,active,0
USR_00000160,content,promo,web,14,0,0.8181,5,30,active,0
USR_00000161,content,engagement,ios,14,4,0.2676,9,27,at_risk,0
USR_00000162,product,engagement,web,11,4,0.7747,8,14,active,0
USR_00000163,search,re-engagement,android,10,4,0.3312,12,3,at_risk,0
USR_00000164,search,re-engagement,ios,14,5,0.1887,12,3,at_risk,0
USR_00000165,search,re-engagement,ios,18,6,0.7273,14,42,active,0
USR_00000166,content,re-engagement,android,9,5,0.4685,11,15,active,1
USR_00000167,search,promo,android,13,5,0.0313,13,4,active,0
USR_00000168,home,promo,ios,11,6,0.9599,12,32,active,1
USR_00000169,search,promo,android,6,4,0.1478,8,39,active,0
USR_00000170,home,transactional,web,6,4,0.3534,12,5,at_risk,1
USR_00000171,home,promo,android,1,3,0.3848,14,42,new,0
USR_00000172,home,engagement,android,10,5,0.4894,16,32,new,1
USR_00000173,content,engagement,ios,17,0,0.7854,14,11,active,1
USR_00000174,product,transactional,android,16,3,0.0061,9,34,churn,1
USR_00000175,product,promo,web,23,2,0.9325,9,18,active,1
USR_00000176,search,promo,ios,0,6,0.646,12,28,active,0
USR_00000177,product,promo,android,18,0,0.9506,14,5,active,0
USR_00000178,home,engagement,ios,19,4,0.8174,10,10,active,1
USR_00000179,content,transactional,ios,10,1,0.9278,8,34,at_risk,1
USR_00000180,product,engagement,ios,6,6,0.601,13,36,churn,1
USR_00000181,content,promo,web,8,5,0.3573,10,0,at_risk,0
USR_00000182,home,promo,ios,16,1,0.4429,12,9,at_risk,0
USR_00000183,search,transactional,ios,20,6,0.658,13,27,new,1
USR_00000184,product,engagement,android,15,3,0.4269,17,40,active,0
USR_00000185,search,engagement,ios,12,6,0.7317,15,30,active,1
USR_00000186,search,promo,web,15,5,0.0918,12,31,active,0
USR_00000187,home,re-engagement,ios,1,0,0.83,16,17,new,0
USR_00000188,search,promo,ios,14,1,0.2042,12,2,at_risk,0
USR_00000189,home,engagement,android,1,2,0.9439,11,34,new,0
USR_00000190,search,promo,ios,23,1,0.1555,14,35,active,1
USR_00000191,product,promo,web,21,0,0.1292,12,19,active,1
USR_00000192,product,engagement,android,12,6,0.8119,13,22,at_risk,1
USR_00000193,product,promo,android,8,6,0.8187,10,10,at_risk,0
USR_00000194,search,transactional,ios,17,3,0.7388,18,20,active,1
USR_00000195,content,transactional,ios,15,1,0.9605,14,10,at_risk,1
USR_00000196,home,promo,ios,16,1,0.2705,11,18,at_risk,0
USR_00000197,search,engagement,android,12,6,0.8266,13,6,active,1
USR_00000198,home,engagement,android,5,2,0.352,14,27,at_risk,1
USR_00000199,search,engagement,ios,1,0,0.5374,8,11,new,0
USR_00000200,content,promo,ios,6,2,0.4456,18,32,active,0
USR_00000201,search,transactional,ios,12,3,0.0059,15,23,new,1
USR_00000202,content,promo,ios,10,4,0.5745,13,40,active,0
USR_00000203,search,promo,ios,12,2,0.7475,11,9,active,1
USR_00000204,product,promo,ios,6,6,0.1746,16,12,new,1
USR_00000205,search,re-engagement,ios,22,4,0.9317,14,10,active,0
USR_00000206,search,engagement,ios,8,6,0.5304,17,28,active,1
USR_00000207,content,engagement,ios,20,2,0.1782,11,4,active,1
USR_00000208,content,transactional,android,9,4,0.6459,17,30,new,1
USR_00000209,search,transactional,android,10,2,0.1919,12,36,new,1
USR_00000210,content,transactional,ios,14,4,0.0635,6,30,active,0
USR_00000211,search,transactional,web,6,5,0.6853,7,6,at_risk,0
USR_00000212,product,transactional,ios,5,2,0.1107,11,22,at_risk,0
USR_00000213,content,promo,android,9,6,0.1062,11,24,active,0
USR_00000214,search,promo,ios,19,6,0.7399,10,17,at_risk,1
USR_00000215,product,re-engagement,android,3,6,0.0552,11,20,active,0
USR_00000216,search,transactional,ios,10,1,0.8098,4,34,churn,1
USR_00000217,home,re-engagement,web,16,5,0.7961,11,37,new,0
USR_00000218,home,promo,ios,16,0,0.1414,14,13,active,0
USR_00000219,search,transactional,ios,10,0,0.5184,22,14,active,1
USR_00000220,content,promo,android,1,6,0.0966,9,9,active,0
USR_00000221,home,promo,android,0,1,0.6326,9,18,new,0
USR_00000222,search,promo,web,11,6,0.0629,10,24,new,0
USR_00000223,product,promo,ios,19,3,0.9445,11,32,active,0
USR_00000224,home,re-engagement,ios,0,2,0.2077,13,12,active,0
USR_00000225,product,promo,android,21,0,0.6829,12,9,at_risk,1
USR_00000226,search,engagement,android,16,4,0.1283,17,1,new,0
USR_00000227,content,transactional,android,0,5,0.2096,10,4,at_risk,0
USR_00000228,product,transactional,android,8,3,0.4509,10,2,active,0
USR_00000229,product,transactional,android,5,5,0.5731,9,9,churn,0
USR_00000230,home,promo,web,22,2,0.9989,3,31,new,1
USR_00000231,search,re-engagement,ios,13,3,0.0259,20,34,at_risk,0
USR_00000232,content,engagement,android,7,2,0.0003,12,43,churn,0
USR_00000233,home,engagement,android,6,4,0.3504,14,24,at_risk,0
USR_00000234,content,transactional,android,13,0,0.3662,9,20,at_risk,1
USR_00000235,search,promo,web,0,3,0.8838,12,40,active,0
USR_00000236,product,re-engagement,android,6,3,0.9126,8,6,at_risk,0
USR_00000237,product,promo,ios,3,3,0.8805,8,28,active,1
USR_00000238,search,promo,web,14,3,0.1432,10,36,active,0
USR_00000239,search,promo,android,16,4,0.4121,12,22,churn,0
USR_00000240,product,engagement,ios,11,3,0.7459,12,11,active,1
USR_00000241,home,engagement,web,3,1,0.3126,11,27,active,0
USR_00000242,product,engagement,android,8,1,0.6632,10,44,churn,0
USR_00000243,home,engagement,android,20,4,0.2371,19,10,active,0
USR_00000244,product,promo,web,4,6,0.3234,12,25,new,0
USR_00000245,product,re-engagement,web,3,5,0.8604,9,2,active,0
USR_00000246,home,transactional,ios,2,4,0.2505,9,10,at_risk,0
USR_00000247,content,engagement,ios,19,6,0.9643,11,34,at_risk,0
USR_00000248,search,promo,android,2,6,0.3063,12,22,new,1
USR_00000249,content,re-engagement,web,13,3,0.0235,10,8,active,1
USR_00000250,home,promo,ios,23,0,0.2549,12,15,active,0
USR_00000251,home,promo,android,15,4,0.1712,20,5,active,1
USR_00000252,search,transactional,ios,9,4,0.5068,13,35,active,1
USR_00000253,home,promo,web,4,1,0.1127,9,42,churn,0
USR_00000254,search,promo,web,0,5,0.626,12,4,active,0
USR_00000255,product,engagement,android,3,6,0.8749,7,10,active,1
USR_00000256,home,promo,android,22,2,0.3625,10,38,active,0
USR_00000257,product,re-engagement,web,3,3,0.1685,15,39,active,0
USR_00000258,home,promo,web,0,1,0.4,16,34,active,1
USR_00000259,home,engagement,ios,19,1,0.786,14,32,new,1
USR_00000260,product,transactional,ios,10,1,0.5915,6,38,new,1
USR_00000261,content,engagement,ios,8,2,0.1011,14,16,churn,1
USR_00000262,home,transactional,android,17,1,0.5372,13,40,new,1
USR_00000263,search,transactional,android,12,1,0.4681,12,39,active,1
USR_00000264,content,re-engagement,android,21,3,0.3271,9,10,at_risk,0
USR_00000265,content,promo,android,11,4,0.1102,11,3,new,0
USR_00000266,product,promo,web,17,2,0.9811,20,23,new,1
USR_00000267,search,engagement,android,21,3,0.176,14,34,active,0
USR_00000268,search,engagement,android,11,1,0.1927,7,38,active,1
USR_00000269,product,promo,ios,6,4,0.1456,12,6,active,1
USR_00000270,product,transactional,android,23,4,0.5702,20,16,active,1
USR_00000271,search,engagement,android,5,6,0.4437,9,34,new,0
USR_00000272,home,engagement,ios,0,0,0.2496,15,2,new,1
USR_00000273,home,re-engagement,android,13,5,0.4294,10,32,new,0
USR_00000274,content,transactional,ios,23,2,0.6735,11,13,active,1
USR_00000275,search,engagement,web,2,0,0.2817,12,1,active,0
USR_00000276,search,promo,android,20,4,0.9152,11,10,churn,0
USR_00000277,search,re-engagement,web,19,1,0.3063,12,33,new,1
USR_00000278,content,promo,web,22,1,0.1982,10,39,active,0
USR_00000279,home,engagement,web,10,6,0.9546,9,3,active,1
USR_00000280,home,transactional,ios,6,1,0.8106,8,20,active,1
USR_00000281,search,transactional,ios,12,3,0.3431,15,9,active,1
USR_00000282,search,engagement,ios,3,1,0.8414,17,30,new,1
USR_00000283,product,transactional,ios,20,0,0.5188,10,35,active,1
USR_00000284,search,re-engagement,android,15,0,0.3468,14,43,active,1
USR_00000285,search,transactional,web,11,0,0.8396,12,15,at_risk,1
USR_00000286,content,engagement,ios,12,3,0.7522,8,13,new,1
USR_00000287,home,promo,ios,17,3,0.2979,12,13,at_risk,0
USR_00000288,product,transactional,android,12,0,0.6067,13,34,active,1
USR_00000289,product,transactional,android,20,2,0.3694,13,20,active,1
USR_00000290,search,promo,ios,22,1,0.0011,14,1,new,0
USR_00000291,content,promo,ios,22,3,0.9618,10,42,active,1
USR_00000292,search,engagement,android,14,6,0.5496,5,4,at_risk,1
USR_00000293,content,engagement,android,17,4,0.5984,12,41,active,1
USR_00000294,search,engagement,android,7,6,0.5999,8,7,active,1
USR_00000295,product,promo,ios,0,1,0.5506,11,24,new,1
USR_00000296,product,promo,android,9,1,0.29,7,14,active,1
USR_00000297,content,promo,web,20,5,0.9716,11,30,at_risk,1
USR_00000298,search,engagement,android,3,2,0.6217,12,18,active,0
USR_00000299,search,engagement,android,13,5,0.6709,7,16,at_risk,0
USR_00000300,home,promo,android,4,3,0.4548,19,21,at_risk,0
USR_00000301,search,engagement,ios,10,1,0.2879,12,43,active,1
USR_00000302,content,promo,ios,3,5,0.0643,12,11,active,1
USR_00000303,home,promo,ios,17,3,0.3502,7,9,active,1
USR_00000304,content,promo,web,19,5,0.1761,17,2,active,1
USR_00000305,product,promo,android,18,3,0.6621,10,33,new,0
USR_00000306,home,engagement,ios,16,0,0.879,10,30,at_risk,1
USR_00000307,search,re-engagement,android,5,4,0.3028,18,27,churn,1
USR_00000308,product,promo,android,12,0,0.3329,7,1,active,1
USR_00000309,search,transactional,ios,2,4,0.6704,10,35,churn,1
USR_00000310,home,engagement,android,8,2,0.1493,6,36,churn,0
USR_00000311,product,re-engagement,ios,12,5,0.9294,17,42,active,0
USR_00000312,product,engagement,ios,16,6,0.3638,8,41,at_risk,0
USR_00000313,home,promo,ios,2,2,0.1012,13,11,active,1
USR_00000314,search,engagement,ios,19,6,0.1747,13,31,new,0
USR_00000315,home,promo,ios,11,0,0.9327,11,18,new,1
USR_00000316,product,re-engagement,android,21,0,0.2471,10,26,active,0
USR_00000317,product,promo,android,12,6,0.6623,11,14,at_risk,0
USR_00000318,product,engagement,android,13,4,0.1562,12,29,active,1
USR_00000319,content,promo,ios,16,3,0.1941,15,42,at_risk,0
USR_00000320,content,transactional,web,19,1,0.8792,10,29,active,1
USR_00000321,search,engagement,android,3,2,0.148,14,41,active,0
USR_00000322,home,engagement,ios,12,4,0.0188,11,41,active,0
USR_00000323,product,transactional,ios,0,5,0.5012,10,5,active,1
USR_00000324,content,re-engagement,web,11,6,0.8627,10,43,new,0
USR_00000325,content,engagement,ios,19,2,0.326,7,36,new,1
USR_00000326,home,promo,ios,20,3,0.1282,11,19,new,0
USR_00000327,home,transactional,ios,6,1,0.9822,19,27,new,1
USR_00000328,home,transactional,web,9,0,0.6767,12,27,new,1
USR_00000329,home,engagement,android,13,3,0.8507,17,35,active,1
USR_00000330,product,promo,web,9,4,0.7521,7,36,active,0
USR_00000331,product,promo,android,4,0,0.6982,13,4,active,0
USR_00000332,search,re-engagement,web,7,2,0.3846,10,0,at_risk,1
USR_00000333,search,re-engagement,android,9,4,0.3243,14,11,active,0
USR_00000334,content,engagement,android,12,5,0.717,5,23,churn,1
USR_00000335,search,re-engagement,android,22,6,0.7167,10,38,active,1
USR_00000336,content,engagement,android,13,2,0.9506,16,29,new,1
USR_00000337,content,engagement,android,9,2,0.5687,12,6,churn,1
USR_00000338,search,engagement,android,15,6,0.2946,9,32,at_risk,0
USR_00000339,home,transactional,ios,18,4,0.4895,8,21,active,0
USR_00000340,content,transactional,android,10,1,0.6137,8,16,active,1
USR_00000341,product,promo,ios,11,4,0.4267,15,34,active,1
USR_00000342,search,engagement,web,5,1,0.7911,13,13,active,1
USR_00000343,product,promo,ios,20,3,0.5846,19,27,at_risk,1
USR_00000344,product,promo,android,20,2,0.0094,12,8,active,0
USR_00000345,content,transactional,android,4,6,0.5698,11,17,new,1
USR_00000346,search,transactional,web,8,0,0.6336,12,25,new,0
USR_00000347,content,promo,android,6,5,0.9153,11,28,new,0
USR_00000348,content,engagement,android,22,1,0.4137,11,41,active,1
USR_00000349,home,engagement,web,1,0,0.5745,9,13,active,1
USR_00000350,home,promo,web,4,4,0.475,10,40,at_risk,0
USR_00000351,product,promo,android,7,4,0.5317,7,36,new,1
USR_00000352,home,promo,ios,13,0,0.0673,8,16,active,0
USR_00000353,search,engagement,ios,5,0,0.8973,12,6,new,1
USR_00000354,search,engagement,ios,12,0,0.9104,11,11,active,0
USR_00000355,content,promo,android,17,2,0.5481,8,29,active,0
USR_00000356,content,engagement,android,19,0,0.5566,11,35,active,0
USR_00000357,home,promo,ios,2,4,0.0576,11,27,churn,0
USR_00000358,content,promo,android,3,0,0.598,11,32,churn,0
USR_00000359,home,re-engagement,ios,2,5,0.4292,9,4,at_risk,1
USR_00000360,product,promo,android,21,6,0.709,12,22,at_risk,0
USR_00000361,content,promo,web,15,5,0.0471,15,39,active,0
USR_00000362,content,transactional,web,12,6,0.7109,5,17,active,0
USR_00000363,home,engagement,ios,18,6,0.2869,16,40,active,1
USR_00000364,content,re-engagement,ios,14,0,0.6517,7,5,at_risk,0
USR_00000365,home,re-engagement,android,5,2,0.6271,13,44,new,0
USR_00000366,product,promo,ios,12,5,0.2268,14,35,new,0
USR_00000367,search,promo,android,16,2,0.4405,10,28,new,0
USR_00000368,search,engagement,web,0,5,0.8356,16,27,active,1
USR_00000369,home,promo,web,14,5,0.6056,15,42,active,0
USR_00000370,content,engagement,web,11,6,0.0687,6,16,new,0
USR_00000371,search,engagement,web,1,2,0.4429,12,7,active,1
USR_00000372,product,promo,web,6,2,0.3118,15,41,active,0
USR_00000373,search,engagement,android,10,0,0.6416,12,4,at_risk,1
USR_00000374,search,promo,web,8,1,0.6146,10,29,new,0
USR_00000375,content,transactional,ios,6,1,0.0104,16,11,new,1
USR_00000376,home,transactional,android,15,3,0.6077,17,41,active,1
USR_00000377,product,transactional,ios,9,2,0.7348,11,43,active,1
USR_00000378,product,engagement,android,11,5,0.7687,7,21,at_risk,0
USR_00000379,search,engagement,android,19,5,0.059,10,23,active,1
USR_00000380,search,re-engagement,android,2,5,0.3037,9,20,churn,1
USR_00000381,home,re-engagement,android,8,0,0.4213,13,19,active,1
USR_00000382,content,transactional,ios,1,3,0.1798,14,42,active,1
USR_00000383,content,promo,web,22,5,0.4207,4,12,churn,0
USR_00000384,home,engagement,ios,4,1,0.0711,14,43,new,1
USR_00000385,home,re-engagement,ios,19,2,0.1132,8,29,at_risk,1
USR_00000386,home,promo,android,4,5,0.6687,15,43,new,0
USR_00000387,home,transactional,ios,7,5,0.2626,12,27,active,0
USR_00000388,content,transactional,android,14,5,0.7114,12,36,new,0
USR_00000389,content,promo,web,19,3,0.0481,14,22,active,1
USR_00000390,home,engagement,android,4,2,0.5627,8,20,at_risk,0
USR_00000391,product,promo,ios,5,2,0.3914,13,11,new,1
USR_00000392,home,engagement,ios,21,4,0.797,11,9,new,1
USR_00000393,search,engagement,ios,7,2,0.784,10,1,active,1
USR_00000394,product,engagement,web,5,2,0.3756,9,17,active,1
USR_00000395,product,transactional,android,17,1,0.6227,15,44,active,1
USR_00000396,content,promo,web,2,3,0.2275,19,42,churn,1
USR_00000397,home,engagement,ios,20,1,0.5804,7,31,new,1
USR_00000398,home,engagement,ios,21,3,0.0813,14,16,active,0
USR_00000399,search,transactional,ios,20,6,0.4346,12,23,active,0
USR_00000400,search,engagement,web,7,5,0.1827,12,34,active,0
USR_00000401,content,promo,web,2,3,0.8834,14,0,active,1
USR_00000402,content,engagement,android,10,6,0.4449,10,41,at_risk,1
USR_00000403,search,promo,web,8,6,0.5908,15,39,active,0
USR_00000404,content,promo,ios,23,3,0.3604,15,43,at_risk,0
USR_00000405,search,transactional,ios,15,5,0.2887,13,4,active,1
USR_00000406,product,promo,web,22,2,0.2029,9,42,active,1
USR_00000407,search,promo,android,18,6,0.9119,15,27,at_risk,1
USR_00000408,home,promo,ios,17,2,0.7995,17,24,at_risk,1
USR_00000409,content,transactional,android,2,1,0.1333,6,8,churn,0
USR_00000410,home,engagement,android,1,0,0.7467,7,22,active,0
USR_00000411,home,promo,web,1,5,0.4185,12,16,churn,1
USR_00000412,home,engagement,android,14,2,0.0154,9,44,at_risk,0
USR_00000413,search,engagement,android,4,5,0.5284,12,15,at_risk,1
USR_00000414,home,promo,android,23,0,0.13,13,9,active,1
USR_00000415,home,promo,ios,3,3,0.2099,9,42,churn,0
USR_00000416,product,engagement,web,22,2,0.696,8,8,active,1
USR_00000417,content,engagement,web,16,3,0.2571,13,40,at_risk,1
USR_00000418,home,transactional,android,2,1,0.8919,7,43,active,1
USR_00000419,search,engagement,ios,1,0,0.6572,15,13,at_risk,0
USR_00000420,product,promo,ios,9,2,0.8323,13,31,at_risk,0
USR_00000421,content,promo,ios,8,3,0.6152,2,35,new,0
USR_00000422,product,engagement,android,7,5,0.8688,9,24,active,1
